,electricity,natural_gas,fuel_oil,vehicle_miles,housing_fp,county_total_fp
218,12814.0,28721.0,2,23289,14.0,390147
219,12706.0,30559.0,5,21843,14.2,205114
220,12296.0,30808.0,2,19255,13.8,1859800
221,15383.0,42643.0,1,29496,17.0,2107893
222,12979.0,26261.0,10,25725,14.1,18366
223,14411.0,28822.0,7,31259,15.4,712354
224,12667.0,36094.0,18,23749,14.7,444506
225,12134.0,31795.0,13,21118,14.0,396227
226,10906.0,28421.0,2,20224,12.7,185146
227,10946.0,24597.0,120,22909,14.1,516150
228,17921.0,47252.0,3,33922,19.5,2148536
229,12903.0,40882.0,2,24012,15.2,1722543
230,15931.0,43567.0,9,33073,17.8,1777031
231,11727.0,30224.0,15,25722,13.6,515646
232,13623.0,41037.0,2,20057,15.5,25224644
233,11803.0,27447.0,42,24716,13.9,532659
234,12560.0,29372.0,3,26485,14.0,65829
235,13309.0,29280.0,3,21415,14.5,1542284
236,12883.0,33056.0,8,27149,14.7,902689
237,13354.0,33528.0,21,22928,15.2,329027
238,15595.0,45318.0,1,28497,17.5,12012575
239,11570.0,30909.0,12,26314,13.5,775494
240,12547.0,35619.0,7,27507,14.5,2779419
241,11868.0,31279.0,8,18631,13.6,177058
242,12718.0,32205.0,4,27250,14.3,540339
243,13598.0,27371.0,2,29207,14.7,467716
244,12016.0,30952.0,16,22378,13.9,372958
245,12221.0,27458.0,1,27849,13.6,181130
246,16007.0,39135.0,3,31368,17.3,2775393
247,12460.0,31318.0,2,24612,14.1,2167638
248,12857.0,27350.0,3,22270,14.1,147752
249,13170.0,31366.0,6,29990,14.7,955361
250,13734.0,29980.0,24,27959,15.2,215758
251,12512.0,27296.0,,22640,13.7,251790
252,12781.0,31153.0,12,21729,14.3,339594
253,12384.0,29607.0,20,20859,14.0,165821
254,12434.0,28787.0,3,22472,13.8,155028
255,14561.0,31971.0,4,30911,15.8,274712
256,13160.0,34294.0,5,26288,14.8,299366
257,12602.0,26803.0,12,22764,13.9,109916
258,12324.0,28573.0,7,22570,13.8,897049
259,13816.0,27275.0,1,29446,14.8,422270
260,12279.0,27971.0,2,21363,13.6,1080077
261,11857.0,25626.0,43,23077,13.7,183880
262,13891.0,28275.0,2,25710,14.8,121723
263,12938.0,28682.0,2,22127,14.2,1810900
264,12195.0,27576.0,9,29003,13.9,382153
265,12547.0,32039.0,9,20569,14.2,229150
266,12677.0,29576.0,5,28961,14.1,560027
267,12537.0,27103.0,6,24008,13.9,130097
268,12912.0,31014.0,5,24758,14.4,404314
269,12695.0,28431.0,4,22031,14.0,393158
270,13512.0,32185.0,2,28519,14.9,371073
271,12781.0,27016.0,10,22508,14.0,177073
272,13115.0,30978.0,13,28702,14.7,310054
273,11641.0,27447.0,17,26804,13.5,699239
274,13667.0,38890.0,0,19997,15.4,3782628
275,14077.0,34907.0,4,29327,15.5,1340137
276,14849.0,35507.0,5,32709,16.3,546048
277,13195.0,31681.0,5,28750,14.7,147758
278,15149.0,38374.0,6,32873,16.6,1260248
279,12712.0,31872.0,0,25145,14.3,584999
280,13056.0,31102.0,24,26883,14.8,564337
